domain,phylum,order,class,family,genus,reads,sample
Bacteria,Firmicutes,Halanaerobiales,Clostridia,,Anoxybacter,42,22001612560572
Bacteria,Firmicutes,Halanaerobiales,Clostridia,Halobacteroidaceae,Halobacteroides,19,22001612560572
Bacteria,Firmicutes,Halanaerobiales,Clostridia,Halobacteroidaceae,Acetohalobium,18,22001612560572
Bacteria,Firmicutes,Natranaerobiales,Clostridia,Natranaerobiaceae,Natranaerobius,19,22001612560572
Bacteria,Firmicutes,Acidaminococcales,Negativicutes,Acidaminococcaceae,Acidaminococcus,10448,22001612560572
Bacteria,Firmicutes,Acidaminococcales,Negativicutes,Acidaminococcaceae,Phascolarctobacterium,5331,22001612560572
Bacteria,Firmicutes,Veillonellales,Negativicutes,Veillonellaceae,Megasphaera,863,22001612560572
Bacteria,Firmicutes,Veillonellales,Negativicutes,Veillonellaceae,Dialister,182,22001612560572
Bacteria,Firmicutes,Veillonellales,Negativicutes,Veillonellaceae,Veillonella,88,22001612560572
Bacteria,Firmicutes,Selenomonadales,Negativicutes,Selenomonadaceae,Selenomonas,491,22001612560572
Bacteria,Firmicutes,Selenomonadales,Negativicutes,Selenomonadaceae,Megamonas,48,22001612560572
Bacteria,Firmicutes,Selenomonadales,Negativicutes,Sporomusaceae,Pelosinus,47,22001612560572
Bacteria,Firmicutes,Selenomonadales,Negativicutes,Sporomusaceae,Methylomusa,42,22001612560572
Bacteria,Firmicutes,Selenomonadales,Negativicutes,Sporomusaceae,Sporomusa,32,22001612560572
Bacteria,Firmicutes,Bacillales,Bacilli,Bacillaceae,Bacillus,1945,22001612560572
Bacteria,Firmicutes,Bacillales,Bacilli,Bacillaceae,Geobacillus,177,22001612560572
Bacteria,Firmicutes,Bacillales,Bacilli,Bacillaceae,Lysinibacillus,134,22001612560572
Bacteria,Firmicutes,Bacillales,Bacilli,Bacillaceae,Virgibacillus,101,22001612560572
Bacteria,Firmicutes,Bacillales,Bacilli,Bacillaceae,Oceanobacillus,70,22001612560572
Bacteria,Firmicutes,Bacillales,Bacilli,Bacillaceae,Anoxybacillus,84,22001612560572
Bacteria,Firmicutes,Bacillales,Bacilli,Bacillaceae,Fictibacillus,59,22001612560572
Bacteria,Firmicutes,Bacillales,Bacilli,Bacillaceae,Halobacillus,56,22001612560572
Bacteria,Firmicutes,Bacillales,Bacilli,Bacillaceae,Psychrobacillus,40,22001612560572
Bacteria,Firmicutes,Bacillales,Bacilli,Bacillaceae,Aquibacillus,23,22001612560572
Bacteria,Firmicutes,Bacillales,Bacilli,Bacillaceae,Terribacillus,21,22001612560572
Bacteria,Firmicutes,Bacillales,Bacilli,Bacillaceae,Amphibacillus,20,22001612560572
Bacteria,Firmicutes,Bacillales,Bacilli,Bacillaceae,Parageobacillus,39,22001612560572
Bacteria,Firmicutes,Bacillales,Bacilli,Bacillaceae,Salimicrobium,18,22001612560572
Bacteria,Firmicutes,Bacillales,Bacilli,Bacillaceae,Aeribacillus,25,22001612560572
Bacteria,Firmicutes,Bacillales,Bacilli,Bacillaceae,Lentibacillus,11,22001612560572
Bacteria,Firmicutes,Bacillales,Bacilli,Bacillaceae,Pradoshia,10,22001612560572
Bacteria,Firmicutes,Bacillales,Bacilli,Paenibacillaceae,Paenibacillus,2300,22001612560572
Bacteria,Firmicutes,Bacillales,Bacilli,Paenibacillaceae,Brevibacillus,157,22001612560572
Bacteria,Firmicutes,Bacillales,Bacilli,Paenibacillaceae,Cohnella,88,22001612560572
Bacteria,Firmicutes,Bacillales,Bacilli,Paenibacillaceae,Aneurinibacillus,73,22001612560572
Bacteria,Firmicutes,Bacillales,Bacilli,Paenibacillaceae,Thermobacillus,74,22001612560572
Bacteria,Firmicutes,Bacillales,Bacilli,Paenibacillaceae,Saccharibacillus,69,22001612560572
Bacteria,Firmicutes,Bacillales,Bacilli,Staphylococcaceae,Staphylococcus,547,22001612560572
Bacteria,Firmicutes,Bacillales,Bacilli,Staphylococcaceae,Macrococcus,34,22001612560572
Bacteria,Firmicutes,Bacillales,Bacilli,Staphylococcaceae,Salinicoccus,20,22001612560572
Bacteria,Firmicutes,Bacillales,Bacilli,Staphylococcaceae,Jeotgalicoccus,11,22001612560572
Bacteria,Firmicutes,Bacillales,Bacilli,Planococcaceae,Planococcus,261,22001612560572
Bacteria,Firmicutes,Bacillales,Bacilli,Planococcaceae,Sporosarcina,130,22001612560572
Bacteria,Firmicutes,Bacillales,Bacilli,Planococcaceae,Solibacillus,38,22001612560572
Bacteria,Firmicutes,Bacillales,Bacilli,Planococcaceae,Kurthia,28,22001612560572
Bacteria,Firmicutes,Bacillales,Bacilli,Planococcaceae,Paenisporosarcina,23,22001612560572
Bacteria,Firmicutes,Bacillales,Bacilli,Planococcaceae,Jeotgalibacillus,20,22001612560572
Bacteria,Firmicutes,Bacillales,Bacilli,Planococcaceae,Ureibacillus,26,22001612560572
Bacteria,Firmicutes,Bacillales,Bacilli,Alicyclobacillaceae,Tumebacillus,96,22001612560572
Bacteria,Firmicutes,Bacillales,Bacilli,Alicyclobacillaceae,Alicyclobacillus,51,22001612560572
Bacteria,Firmicutes,Bacillales,Bacilli,Alicyclobacillaceae,Kyrpidia,37,22001612560572
Bacteria,Firmicutes,Bacillales,Bacilli,Listeriaceae,Listeria,129,22001612560572
Bacteria,Firmicutes,Bacillales,Bacilli,Listeriaceae,Brochothrix,48,22001612560572
Bacteria,Firmicutes,Bacillales,Bacilli,,Exiguobacterium,106,22001612560572
Bacteria,Firmicutes,Bacillales,Bacilli,,Gemella,44,22001612560572
Bacteria,Firmicutes,Bacillales,Bacilli,Sporolactobacillaceae,Sporolactobacillus,60,22001612560572
Bacteria,Firmicutes,Bacillales,Bacilli,Thermoactinomycetaceae,Thermoactinomyces,29,22001612560572
Bacteria,Firmicutes,Bacillales,Bacilli,Thermoactinomycetaceae,Novibacillus,15,22001612560572
Bacteria,Firmicutes,Bacillales,Bacilli,Thermoactinomycetaceae,Laceyella,13,22001612560572
Bacteria,Firmicutes,Lactobacillales,Bacilli,Streptococcaceae,Streptococcus,3520,22001612560572
Bacteria,Firmicutes,Lactobacillales,Bacilli,Streptococcaceae,Lactococcus,363,22001612560572
Bacteria,Firmicutes,Lactobacillales,Bacilli,Lactobacillaceae,Lactobacillus,1188,22001612560572
Bacteria,Firmicutes,Lactobacillales,Bacilli,Lactobacillaceae,Pediococcus,41,22001612560572
Bacteria,Firmicutes,Lactobacillales,Bacilli,Enterococcaceae,Enterococcus,1085,22001612560572
Bacteria,Firmicutes,Lactobacillales,Bacilli,Enterococcaceae,Vagococcus,46,22001612560572
Bacteria,Firmicutes,Lactobacillales,Bacilli,Enterococcaceae,Tetragenococcus,31,22001612560572
Bacteria,Firmicutes,Lactobacillales,Bacilli,Enterococcaceae,Melissococcus,21,22001612560572
Bacteria,Firmicutes,Lactobacillales,Bacilli,Leuconostocaceae,Leuconostoc,88,22001612560572
Bacteria,Firmicutes,Lactobacillales,Bacilli,Leuconostocaceae,Weissella,64,22001612560572
Bacteria,Firmicutes,Lactobacillales,Bacilli,Leuconostocaceae,Oenococcus,26,22001612560572
Bacteria,Firmicutes,Lactobacillales,Bacilli,Carnobacteriaceae,Carnobacterium,107,22001612560572
Bacteria,Firmicutes,Lactobacillales,Bacilli,Carnobacteriaceae,Jeotgalibaca,52,22001612560572
Bacteria,Firmicutes,Lactobacillales,Bacilli,Aerococcaceae,Aerococcus,119,22001612560572
Bacteria,Firmicutes,Erysipelotrichales,Erysipelotrichia,Erysipelotrichaceae,Faecalitalea,3172,22001612560572
Bacteria,Firmicutes,Erysipelotrichales,Erysipelotrichia,Erysipelotrichaceae,Longibaculum,6051,22001612560572
Bacteria,Firmicutes,Erysipelotrichales,Erysipelotrichia,Erysipelotrichaceae,Turicibacter,325,22001612560572
Bacteria,Firmicutes,Erysipelotrichales,Erysipelotrichia,Erysipelotrichaceae,Faecalibaculum,215,22001612560572
Bacteria,Firmicutes,Erysipelotrichales,Erysipelotrichia,Erysipelotrichaceae,Erysipelothrix,65,22001612560572
Bacteria,Firmicutes,Tissierellales,Tissierellia,Peptoniphilaceae,Peptoniphilus,104,22001612560572
Bacteria,Firmicutes,Tissierellales,Tissierellia,Peptoniphilaceae,Murdochiella,104,22001612560572
Bacteria,Firmicutes,Tissierellales,Tissierellia,Peptoniphilaceae,Finegoldia,58,22001612560572
Bacteria,Firmicutes,Tissierellales,Tissierellia,Peptoniphilaceae,Anaerococcus,47,22001612560572
Bacteria,Firmicutes,Tissierellales,Tissierellia,Peptoniphilaceae,Parvimonas,46,22001612560572
Bacteria,Firmicutes,Tissierellales,Tissierellia,,Sporanaerobacter,77,22001612560572
Bacteria,Firmicutes,Tissierellales,Tissierellia,Tissierellaceae,Soehngenia,65,22001612560572
Bacteria,Firmicutes,Tissierellales,Tissierellia,Gottschalkiaceae,Gottschalkia,37,22001612560572
Bacteria,Firmicutes,,Tissierellia,,Ezakiella,27,22001612560572
Bacteria,Firmicutes,,,,Ndongobacter,118,22001612560572
Bacteria,Firmicutes,Limnochordales,Limnochordia,Limnochordaceae,Limnochorda,41,22001612560572
Bacteria,Actinobacteria,Coriobacteriales,Coriobacteriia,Coriobacteriaceae,Collinsella,33044,22001612560572
Bacteria,Actinobacteria,Coriobacteriales,Coriobacteriia,Coriobacteriaceae,Coriobacterium,59,22001612560572
Bacteria,Actinobacteria,Coriobacteriales,Coriobacteriia,Atopobiaceae,Olsenella,599,22001612560572
Bacteria,Actinobacteria,Coriobacteriales,Coriobacteriia,Atopobiaceae,Libanicoccus,370,22001612560572
Bacteria,Actinobacteria,Coriobacteriales,Coriobacteriia,Atopobiaceae,Parolsenella,249,22001612560572
Bacteria,Actinobacteria,Coriobacteriales,Coriobacteriia,Atopobiaceae,Atopobium,37,22001612560572
Bacteria,Actinobacteria,Eggerthellales,Coriobacteriia,Eggerthellaceae,Adlercreutzia,5679,22001612560572
Bacteria,Actinobacteria,Eggerthellales,Coriobacteriia,Eggerthellaceae,Gordonibacter,719,22001612560572
Bacteria,Actinobacteria,Eggerthellales,Coriobacteriia,Eggerthellaceae,Eggerthella,429,22001612560572
Bacteria,Actinobacteria,Eggerthellales,Coriobacteriia,Eggerthellaceae,Slackia,191,22001612560572
Bacteria,Actinobacteria,Eggerthellales,Coriobacteriia,Eggerthellaceae,Arabia,162,22001612560572
Bacteria,Actinobacteria,Eggerthellales,Coriobacteriia,Eggerthellaceae,Denitrobacterium,95,22001612560572
Bacteria,Actinobacteria,Eggerthellales,Coriobacteriia,Eggerthellaceae,Phoenicibacter,56,22001612560572
Bacteria,Actinobacteria,Eggerthellales,Coriobacteriia,Eggerthellaceae,Cryptobacterium,28,22001612560572
Bacteria,Actinobacteria,Bifidobacteriales,Actinobacteria,Bifidobacteriaceae,Bifidobacterium,27179,22001612560572
Bacteria,Actinobacteria,Bifidobacteriales,Actinobacteria,Bifidobacteriaceae,Gardnerella,27,22001612560572
Bacteria,Actinobacteria,Bifidobacteriales,Actinobacteria,Bifidobacteriaceae,Parascardovia,14,22001612560572
Bacteria,Actinobacteria,Streptomycetales,Actinobacteria,Streptomycetaceae,Streptomyces,2509,22001612560572
Bacteria,Actinobacteria,Streptomycetales,Actinobacteria,Streptomycetaceae,Kitasatospora,84,22001612560572
Bacteria,Actinobacteria,Streptomycetales,Actinobacteria,Streptomycetaceae,Streptacidiphilus,17,22001612560572
Bacteria,Actinobacteria,Micrococcales,Actinobacteria,Microbacteriaceae,Microbacterium,426,22001612560572
Bacteria,Actinobacteria,Micrococcales,Actinobacteria,Microbacteriaceae,Agromyces,73,22001612560572
Bacteria,Actinobacteria,Micrococcales,Actinobacteria,Microbacteriaceae,Rathayibacter,52,22001612560572
Bacteria,Actinobacteria,Micrococcales,Actinobacteria,Microbacteriaceae,Leifsonia,45,22001612560572
Bacteria,Actinobacteria,Micrococcales,Actinobacteria,Microbacteriaceae,Cryobacterium,44,22001612560572
Bacteria,Actinobacteria,Micrococcales,Actinobacteria,Microbacteriaceae,Clavibacter,39,22001612560572
Bacteria,Actinobacteria,Micrococcales,Actinobacteria,Microbacteriaceae,Lysinimonas,34,22001612560572
Bacteria,Actinobacteria,Micrococcales,Actinobacteria,Microbacteriaceae,Humibacter,57,22001612560572
Bacteria,Actinobacteria,Micrococcales,Actinobacteria,Microbacteriaceae,Curtobacterium,28,22001612560572
Bacteria,Actinobacteria,Micrococcales,Actinobacteria,Microbacteriaceae,Agrococcus,28,22001612560572
Bacteria,Actinobacteria,Micrococcales,Actinobacteria,Microbacteriaceae,Plantibacter,26,22001612560572
Bacteria,Actinobacteria,Micrococcales,Actinobacteria,Microbacteriaceae,Microterricola,26,22001612560572
Bacteria,Actinobacteria,Micrococcales,Actinobacteria,Microbacteriaceae,Leucobacter,36,22001612560572
Bacteria,Actinobacteria,Micrococcales,Actinobacteria,Microbacteriaceae,Salinibacterium,16,22001612560572
Bacteria,Actinobacteria,Micrococcales,Actinobacteria,Microbacteriaceae,Frondihabitans,15,22001612560572
Bacteria,Actinobacteria,Micrococcales,Actinobacteria,Microbacteriaceae,Mycetocola,15,22001612560572
Bacteria,Actinobacteria,Micrococcales,Actinobacteria,Microbacteriaceae,Aurantimicrobium,11,22001612560572
Bacteria,Actinobacteria,Micrococcales,Actinobacteria,Micrococcaceae,Arthrobacter,261,22001612560572
Bacteria,Actinobacteria,Micrococcales,Actinobacteria,Micrococcaceae,Kocuria,103,22001612560572
Bacteria,Actinobacteria,Micrococcales,Actinobacteria,Micrococcaceae,Pseudarthrobacter,74,22001612560572
Bacteria,Actinobacteria,Micrococcales,Actinobacteria,Micrococcaceae,Rothia,64,22001612560572
Bacteria,Actinobacteria,Micrococcales,Actinobacteria,Micrococcaceae,Glutamicibacter,63,22001612560572
Bacteria,Actinobacteria,Micrococcales,Actinobacteria,Micrococcaceae,Micrococcus,22,22001612560572
Bacteria,Actinobacteria,Micrococcales,Actinobacteria,Micrococcaceae,Sinomonas,17,22001612560572
Bacteria,Actinobacteria,Micrococcales,Actinobacteria,Micrococcaceae,Neomicrococcus,15,22001612560572
Bacteria,Actinobacteria,Micrococcales,Actinobacteria,Micrococcaceae,Nesterenkonia,13,22001612560572
Bacteria,Actinobacteria,Micrococcales,Actinobacteria,Micrococcaceae,Renibacterium,12,22001612560572
Bacteria,Actinobacteria,Micrococcales,Actinobacteria,Micrococcaceae,Citricoccus,10,22001612560572
Bacteria,Actinobacteria,Micrococcales,Actinobacteria,Intrasporangiaceae,Ornithinimicrobium,67,22001612560572
Bacteria,Actinobacteria,Micrococcales,Actinobacteria,Intrasporangiaceae,Serinicoccus,42,22001612560572
Bacteria,Actinobacteria,Micrococcales,Actinobacteria,Intrasporangiaceae,Janibacter,29,22001612560572
Bacteria,Actinobacteria,Micrococcales,Actinobacteria,Intrasporangiaceae,Phycicoccus,16,22001612560572
Bacteria,Actinobacteria,Micrococcales,Actinobacteria,Intrasporangiaceae,Arsenicicoccus,15,22001612560572
Bacteria,Actinobacteria,Micrococcales,Actinobacteria,Intrasporangiaceae,Intrasporangium,10,22001612560572
Bacteria,Actinobacteria,Micrococcales,Actinobacteria,Dermabacteraceae,Brachybacterium,87,22001612560572
Bacteria,Actinobacteria,Micrococcales,Actinobacteria,Dermabacteraceae,Dermabacter,35,22001612560572
Bacteria,Actinobacteria,Micrococcales,Actinobacteria,Dermabacteraceae,Devriesea,11,22001612560572
Bacteria,Actinobacteria,Micrococcales,Actinobacteria,Cellulomonadaceae,Cellulomonas,80,22001612560572
Bacteria,Actinobacteria,Micrococcales,Actinobacteria,Cellulomonadaceae,Oerskovia,16,22001612560572
Bacteria,Actinobacteria,Micrococcales,Actinobacteria,Cellulomonadaceae,Paraoerskovia,13,22001612560572
Bacteria,Actinobacteria,Micrococcales,Actinobacteria,Brevibacteriaceae,Brevibacterium,85,22001612560572
Bacteria,Actinobacteria,Micrococcales,Actinobacteria,Promicromonosporaceae,Cellulosimicrobium,29,22001612560572
Bacteria,Actinobacteria,Micrococcales,Actinobacteria,Promicromonosporaceae,Xylanibacterium,28,22001612560572
Bacteria,Actinobacteria,Micrococcales,Actinobacteria,Promicromonosporaceae,Isoptericola,14,22001612560572
Bacteria,Actinobacteria,Micrococcales,Actinobacteria,Dermacoccaceae,Kytococcus,21,22001612560572
Bacteria,Actinobacteria,Micrococcales,Actinobacteria,Dermacoccaceae,Luteipulveratus,11,22001612560572
Bacteria,Actinobacteria,Micrococcales,Actinobacteria,Dermacoccaceae,Dermacoccus,11,22001612560572
Bacteria,Actinobacteria,Micrococcales,Actinobacteria,Bogoriellaceae,Georgenia,42,22001612560572
Bacteria,Actinobacteria,Micrococcales,Actinobacteria,Beutenbergiaceae,Miniimonas,25,22001612560572
Bacteria,Actinobacteria,Micrococcales,Actinobacteria,Ruaniaceae,Ruania,14,22001612560572
Bacteria,Actinobacteria,Micrococcales,Actinobacteria,Sanguibacteraceae,Sanguibacter,13,22001612560572
Bacteria,Actinobacteria,Corynebacteriales,Actinobacteria,Corynebacteriaceae,Corynebacterium,830,22001612560572
Bacteria,Actinobacteria,Corynebacteriales,Actinobacteria,Mycobacteriaceae,Mycobacterium,299,22001612560572
Bacteria,Actinobacteria,Corynebacteriales,Actinobacteria,Mycobacteriaceae,Mycolicibacterium,213,22001612560572
Bacteria,Actinobacteria,Corynebacteriales,Actinobacteria,Mycobacteriaceae,Mycobacteroides,147,22001612560572
Bacteria,Actinobacteria,Corynebacteriales,Actinobacteria,Mycobacteriaceae,Mycolicibacter,18,22001612560572
Bacteria,Actinobacteria,Corynebacteriales,Actinobacteria,Nocardiaceae,Nocardia,272,22001612560572
Bacteria,Actinobacteria,Corynebacteriales,Actinobacteria,Nocardiaceae,Rhodococcus,262,22001612560572
Bacteria,Actinobacteria,Corynebacteriales,Actinobacteria,Gordoniaceae,Gordonia,112,22001612560572
Bacteria,Actinobacteria,Corynebacteriales,Actinobacteria,Dietziaceae,Dietzia,56,22001612560572
Bacteria,Actinobacteria,Corynebacteriales,Actinobacteria,Tsukamurellaceae,Tsukamurella,47,22001612560572
Bacteria,Actinobacteria,Corynebacteriales,Actinobacteria,,Lawsonella,13,22001612560572
Bacteria,Actinobacteria,Corynebacteriales,Actinobacteria,Segniliparaceae,Segniliparus,12,22001612560572
Bacteria,Actinobacteria,Propionibacteriales,Actinobacteria,Nocardioidaceae,Nocardioides,243,22001612560572
Bacteria,Actinobacteria,Propionibacteriales,Actinobacteria,Nocardioidaceae,Aeromicrobium,48,22001612560572
Bacteria,Actinobacteria,Propionibacteriales,Actinobacteria,Nocardioidaceae,Kribbella,30,22001612560572
Bacteria,Actinobacteria,Propionibacteriales,Actinobacteria,Nocardioidaceae,Micropruina,25,22001612560572
Bacteria,Actinobacteria,Propionibacteriales,Actinobacteria,Nocardioidaceae,Friedmanniella,25,22001612560572
Bacteria,Actinobacteria,Propionibacteriales,Actinobacteria,Nocardioidaceae,Actinopolymorpha,17,22001612560572
Bacteria,Actinobacteria,Propionibacteriales,Actinobacteria,Nocardioidaceae,Marmoricola,13,22001612560572
Bacteria,Actinobacteria,Propionibacteriales,Actinobacteria,Propionibacteriaceae,Tessaracoccus,84,22001612560572
