# contig	classification	reason	lineage	lineage scores	superkingdom	phylum	class	order	family	genus	species
k99_243012	unclassified	hits not found in taxonomy files
k99_243450	classified	based on 2/2 ORFs	1;131567;2;1783272;1239;186801;186802;186803;841	1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00	Bacteria: 1.00	Firmicutes: 1.00	Clostridia: 1.00	Clostridiales: 1.00	Lachnospiraceae: 1.00	Roseburia: 1.00	not classified
k99_243542	classified	based on 11/11 ORFs	1;131567;2;1783270;68336;976;200643;171549	1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00	Bacteria: 1.00	Bacteroidetes: 1.00	Bacteroidia: 1.00	Bacteroidales: 1.00	not classified	not classified	not classified
k99_243593	classified	based on 10/10 ORFs	1;131567;2;1783272;1239;186801;186802	1.00;1.00;1.00;1.00;1.00;1.00;1.00	Bacteria: 1.00	Firmicutes: 1.00	Clostridia: 1.00	Clostridiales: 1.00	not classified	not classified	not classified
k99_243620	classified	based on 3/3 ORFs	1;131567;2;1783272;1239;47928;1263026	1.00;1.00;1.00;1.00;1.00;1.00;1.00	Bacteria: 1.00	Firmicutes: 1.00	NA	NA	NA	NA	Firmicutes bacterium CAG:475: 1.00
k99_243642	classified	based on 5/6 ORFs	1;131567;2;1783272;1239;186801;186802;541000;292632;214851	1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00	Bacteria: 1.00	Firmicutes: 1.00	Clostridia: 1.00	Clostridiales: 1.00	Ruminococcaceae: 1.00	Subdoligranulum: 1.00	Subdoligranulum variabile: 1.00
k99_243730	classified	based on 11/11 ORFs	1;131567;2	1.00;1.00;1.00	Bacteria: 1.00	not classified	not classified	not classified	not classified	not classified	not classified
k99_244048	classified	based on 6/6 ORFs	1;131567;2;1783270;68336;976;200643;171549;815;816	1.00;1.00;1.00;0.82;0.82;0.82;0.82;0.82;0.82;0.75	Bacteria: 1.00	Bacteroidetes: 0.82	Bacteroidia: 0.82	Bacteroidales: 0.82	Bacteroidaceae: 0.82	Bacteroides: 0.75	not classified
k99_244064	classified	based on 5/5 ORFs	1;131567;2;1783270;68336;976;200643;171549;815;816	1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00	Bacteria: 1.00	Bacteroidetes: 1.00	Bacteroidia: 1.00	Bacteroidales: 1.00	Bacteroidaceae: 1.00	Bacteroides: 1.00	not classified
k99_244157	classified	based on 9/9 ORFs	1;131567;2;1783272;201174;1760;85004;31953;1678	1.00;1.00;1.00;0.71;0.60;0.60;0.60;0.60;0.60	Bacteria: 1.00	Actinobacteria: 0.60	Actinobacteria: 0.60	Bifidobacteriales: 0.60	Bifidobacteriaceae: 0.60	Bifidobacterium: 0.60	not classified
k99_244334	classified	based on 11/11 ORFs	1;131567;2;1783272;201174;84998;84999;84107;102106	1.00;1.00;1.00;1.00;1.00;1.00;0.85;0.85;0.85	Bacteria: 1.00	Actinobacteria: 1.00	Coriobacteriia: 1.00	Coriobacteriales: 0.85	Coriobacteriaceae: 0.85	Collinsella: 0.85	not classified
k99_244377	classified	based on 5/5 ORFs	1;131567;2;1783270;68336;976;200643;171549;171550;239759	1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00	Bacteria: 1.00	Bacteroidetes: 1.00	Bacteroidia: 1.00	Bacteroidales: 1.00	Rikenellaceae: 1.00	Alistipes: 1.00	not classified
k99_244605	classified	based on 10/10 ORFs	1;131567;2;1783270;68336;976;200643;171549	1.00;1.00;1.00;0.60;0.60;0.60;0.60;0.60	Bacteria: 1.00	Bacteroidetes: 0.60	Bacteroidia: 0.60	Bacteroidales: 0.60	not classified	not classified	not classified
k99_244611	classified	based on 10/10 ORFs	1;131567;2;1783270;68336;976;200643;171549;171552;838	1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.89	Bacteria: 1.00	Bacteroidetes: 1.00	Bacteroidia: 1.00	Bacteroidales: 1.00	Prevotellaceae: 1.00	Prevotella: 0.89	not classified
k99_244821	classified	based on 7/7 ORFs	1;131567;2;1783272;1239;186801;186802;541000;216851;853	1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00	Bacteria: 1.00	Firmicutes: 1.00	Clostridia: 1.00	Clostridiales: 1.00	Ruminococcaceae: 1.00	Faecalibacterium: 1.00	Faecalibacterium prausnitzii: 1.00
k99_245168	classified	based on 6/6 ORFs	1;131567;2;1783270;68336;976;200643;171549;171552	1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00	Bacteria: 1.00	Bacteroidetes: 1.00	Bacteroidia: 1.00	Bacteroidales: 1.00	Prevotellaceae: 1.00	not classified	not classified
k99_245318	classified	based on 5/5 ORFs	1;131567;2;1783270;68336;976;200643;171549	1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00	Bacteria: 1.00	Bacteroidetes: 1.00	Bacteroidia: 1.00	Bacteroidales: 1.00	not classified	not classified	not classified
k99_245523	unclassified	hits not found in taxonomy files
